,City,Model,Variable,MSE,RMSE,MAE,R²,MAPE
0,Kigali,LSTMModel,T2M,11.822733761333632,3.4384202421073593,2.6241814667733747,0.7553660008745882,3.9217391807283617
1,Kigali,LSTMModel,PREC,29.130923480149686,5.397307058167961,3.0121422116278582,0.224209582792537,860.479087957157
2,Kigali,LSTMModel,PS,0.0025570684934339556,0.05056746477166871,0.03991567785103116,0.8507128626149121,0.04757298464255721
3,Kigali,GRUModel,T2M,12.603341932840507,3.5501185801097557,2.711434352135045,0.7392137891610631,4.073715178780259
4,Kigali,GRUModel,PREC,29.232484332490376,5.406707346665841,2.9037919973759645,0.2215048990202213,712.7011139173339
5,Kigali,GRUModel,PS,0.0023539423584327834,0.04851744385716114,0.03817270900408073,0.8625718015914348,0.0454884304037889
6,Kigali,BiLSTM,T2M,12.097596409321602,3.4781599171575768,2.678822269908738,0.7496785896425592,3.9774552263363674
7,Kigali,BiLSTM,PREC,28.711726186726832,5.35833240726318,2.748770538139046,0.23537329489999415,544.3075833932207
8,Kigali,BiLSTM,PS,0.0024824213468747475,0.04982390336851126,0.03942264586376992,0.8550709229689483,0.0469717945417476
9,Kigali,BiGRU,T2M,12.41008533313912,3.522795102349712,2.7054144194934846,0.743212621901165,4.04361064976814
10,Kigali,BiGRU,PREC,29.239319791482483,5.407339437420448,2.9939140063557756,0.22132286278690716,812.7185751337427
11,Kigali,BiGRU,PS,0.002551224359598893,0.0505096462034619,0.04012913884105854,0.8510540556697608,0.04781604643152847
12,Kigali,MyEnsemble,T2M,12.529594605252514,3.539716740821575,2.720868063715866,0.7407397563389475,4.034014712624054
13,Kigali,MyEnsemble,PREC,30.29862923571498,5.504419064325951,2.940118327356169,0.19311221864948647,540.1085558270614
14,Kigali,MyEnsemble,PS,0.002618381593639256,0.05117012403384671,0.040016344779930955,0.8471332724563544,0.04768180107616906
15,Abidjan,LSTMModel,T2M,7.611275692824846,2.758854054281387,2.1029775080819157,0.8269353452517606,3.3095537206728074
16,Abidjan,LSTMModel,PREC,36.13444846592898,6.011193597442107,3.2910664667576377,0.2590029348493248,341.1448266974436
17,Abidjan,LSTMModel,PS,0.003642592019571762,0.060353889846237435,0.048553365241178675,0.8533409071996343,0.048304019491909336
18,Abidjan,GRUModel,T2M,6.350870494708011,2.5200933503955785,1.9009946390094816,0.8555943505562996,2.9534770178958496
19,Abidjan,GRUModel,PREC,36.62140775226717,6.051562422405239,3.261810595814316,0.2490170234173379,353.9933861449986
20,Abidjan,GRUModel,PS,0.003946031501800024,0.062817445839512,0.05055509413693126,0.8411237390555495,0.05029866945696607
21,Abidjan,BiLSTM,T2M,6.287707251118991,2.5075301097133393,1.9197725720793324,0.8570305519745215,2.952153129180379
22,Abidjan,BiLSTM,PREC,35.67806292786628,5.97311166209592,3.1214636611700666,0.26836188063759514,320.31002117333054
23,Abidjan,BiLSTM,PS,0.0035105136991764475,0.059249588177272994,0.04737246883303902,0.8586586827132505,0.04712310473839522
24,Abidjan,BiGRU,T2M,6.135658304355225,2.477026100862731,1.8645579452305756,0.8604878302992721,2.883824948403737
25,Abidjan,BiGRU,PREC,35.63598252521245,5.969588136983359,3.2172279243007424,0.269224809399224,393.2335203362371
26,Abidjan,BiGRU,PS,0.0036807035964893558,0.060668802497571644,0.048158818017783676,0.8518064478734474,0.04789918352566963
27,Abidjan,MyEnsemble,T2M,6.251778831844683,2.5003557410585966,1.9094251181047532,0.8578474898609286,2.921451347519744
28,Abidjan,MyEnsemble,PREC,37.292001412805334,6.1067177282731295,3.057153235337345,0.23526538321073664,217.6996030144656
29,Abidjan,MyEnsemble,PS,0.003535923955143874,0.05946363556951319,0.04758761620667751,0.857635607642536,0.04733644035040559
